"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,14,36,46100,54213.5,0.850341704556983
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,18,28,42262,49562.5,0.852701134930643
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,20,32,45279,50922,0.889183457051962
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,20,40,45513,53878.5,0.844733984799131
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,22,20,43459,50120,0.867098962490024
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,24,40,42555.5,50660.5,0.840013422686314
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,30,26,41793,52926,0.789649699580546
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,4,12,36172.5,46313,0.78104419925291
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,6,42,41206,48953,0.841746164688579
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,10,8,40486,46581,0.869152658809386
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,10,36,47486.5,55911,0.849323031246088
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,14,36,47090,55093,0.854736536402084
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",7,18,28,44663.5,53854.5,0.829336452849808
